,Quarter,Tm,Detail,BAL,SDG
0,1.0,Colts,Lydell Mitchell 40 yard pass from Bert Jones (Toni Linhart kick),7,0
1,2.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),14,0
2,2.0,Chargers,Don Woods 5 yard rush (Ray Wersching kick),14,7
3,2.0,Colts,Roger Carr 16 yard pass from Bert Jones (Toni Linhart kick),21,7
4,3.0,Colts,Roger Carr 18 yard pass from Bert Jones (Toni Linhart kick),28,7
5,4.0,Colts,Toni Linhart 39 yard field goal,31,7
6,4.0,Colts,Bill Troup 6 yard rush,37,7
7,4.0,Chargers,Artie Owens 28 yard pass from Clint Longley (Ray Wersching kick),37,14
8,4.0,Chargers,Dwight McDonald 10 yard pass from Clint Longley (Mike Fuller run),37,21
