,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Bobby Anderson 1 yard rush (Jim Turner kick),0,7
1,1.0,Chargers,Dennis Partee 41 yard field goal,3,7
2,2.0,Broncos,Jim Turner 49 yard field goal,3,10
3,2.0,Chargers,Dennis Partee 20 yard field goal,6,10
4,2.0,Broncos,Floyd Little 2 yard rush (Jim Turner kick),6,17
5,2.0,Broncos,Jim Turner 10 yard field goal,6,20
6,3.0,Chargers,Gary Garrison 21 yard pass from John Hadl (Dennis Partee kick),13,20
7,4.0,Chargers,Dennis Partee 35 yard field goal,16,20
