,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Wayne Walker 42 yard field goal,3,0
1,1.0,Colts,Tom Matte 1 yard rush (Dick Bielski kick),3,7
2,1.0,Lions,Terry Barr 80 yard pass from Milt Plum (Wayne Walker kick),10,7
3,2.0,Lions,Nick Pietrosante 4 yard pass from Milt Plum (Wayne Walker kick),17,7
4,2.0,Colts,Jimmy Orr 31 yard pass from Johnny Unitas (Dick Bielski kick),17,14
5,2.0,Colts,Dick Bielski 38 yard field goal,17,17
6,3.0,Colts,Dick Bielski 39 yard field goal,17,20
7,3.0,Lions,Milt Plum 45 yard rush (Wayne Walker kick),24,20
8,4.0,Lions,Wayne Walker 18 yard field goal,27,20
9,4.0,Lions,"Safety, Unitas tackled by Brown in end zone",29,20
