,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Jim Mutscheller 66 yard pass from Johnny Unitas,6,0
1,1.0,Colts,L.G. Dupre 1 yard rush (Steve Myhra kick),13,0
2,2.0,Bears,Bill McColl 7 yard pass from Ed Brown (George Blanda kick),13,7
3,2.0,Bears,Rick Casares 1 yard rush (George Blanda kick),13,14
4,4.0,Colts,Steve Myhra 41 yard field goal,16,14
5,4.0,Colts,Milt Davis 47 yard interception return,22,14
6,4.0,Colts,Gino Marchetti fumble recovery in end zone (Steve Myhra kick),29,14
