,Quarter,Tm,Detail,CRD,NYG
0,2.0,Cardinals,Gern Nagler 4 yard pass from Lamar McHan,6,0
1,3.0,Giants,Mel Triplett 6 yard rush,6,6
2,4.0,Cardinals,Gern Nagler 8 yard pass from Lamar McHan (Bobby Joe Conrad kick),13,6
3,4.0,Cardinals,Ollie Matson 3 yard rush (Bobby Joe Conrad kick),20,6
4,4.0,Cardinals,Bobby Joe Conrad 38 yard field goal,23,6
