,Quarter,Tm,Detail,WAS,MIA
0,2.0,Redskins,Mark Moseley 20 yard field goal,3,0
1,2.0,Dolphins,Uwe von Schamann 37 yard field goal,3,3
2,3.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),3,10
3,4.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),10,10
4,4.0,Dolphins,Uwe von Schamann 25 yard field goal,10,13
