,Quarter,Tm,Detail,PIT,BKN
0,1.0,Dodgers,Pug Manders 2 yard rush (Ace Parker kick),0,7
1,1.0,Dodgers,Perry Schwartz 7 yard pass from Ace Parker (Ace Parker kick),0,14
2,4.0,Dodgers,Bill Leckonby 8 yard pass from Ralph Kercheval (Ralph Kercheval kick),0,21
