,Quarter,Tm,Detail,TOL,RAC
0,4.0,Maroons,Tillie Voss 38 yard rush (Tillie Voss kick),7,0
1,4.0,Legion,Al Elliott 3 yard pass from Shorty Barr (Hank Gillo kick),7,7
