,Quarter,Tm,Detail,CRD,BKN
0,2.0,Dodgers,Beattie Feathers 3 yard rush (Ralph Kercheval kick),0,7
1,2.0,Dodgers,Boyd Brumbaugh 5 yard pass from Ace Parker,0,13
