,Quarter,Tm,Detail,NYG,WAS
0,2.0,Giants,Joe Danelo 48 yard field goal,3,0
1,2.0,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),10,0
2,3.0,Redskins,Clarence Harmon 11 yard rush (Mark Moseley kick),10,7
3,4.0,Redskins,Mark Moseley 40 yard field goal,10,10
4,4.0,Giants,Joe Danelo 39 yard field goal,13,10
5,4.0,Redskins,Bobby Hammond 7 yard pass from Joe Theismann,13,16
