,Quarter,Tm,Detail,GNB,SDG
0,1.0,Packers,Edgar Bennett 3 yard rush (Chris Jacke kick),7,0
1,1.0,Chargers,John Carney 47 yard field goal,7,3
2,2.0,Packers,Chris Jacke 51 yard field goal,10,3
3,2.0,Packers,Chris Jacke 42 yard field goal,13,3
4,2.0,Chargers,John Carney 43 yard field goal,13,6
5,3.0,Packers,Darrell Thompson 5 yard rush (Chris Jacke kick),20,6
6,3.0,Chargers,Nate Lewis 10 yard pass from Stan Humphries (John Carney kick),20,13
