,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Joe Carter 16 yard touchdown on a lateral (Dave Smukler kick),0,7
1,4.0,Giants,Dale Burnett 10 yard pass from Ed Danowski (Tillie Manton kick),7,7
2,4.0,Eagles,Hank Reese 13 yard field goal,7,10
