,Quarter,Tm,Detail,DEN,CHI
0,1.0,Bears,Kevin Butler 31 yard field goal,0,3
1,2.0,Broncos,Jason Elam 29 yard field goal,3,3
2,2.0,Broncos,Robert Delpino 1 yard rush (Jason Elam kick),10,3
3,3.0,Broncos,Jason Elam 24 yard field goal,13,3
