,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Ali Haji-Sheikh 40 yard field goal,3,0
1,1.0,Giants,Ali Haji-Sheikh 38 yard field goal,6,0
2,2.0,Cowboys,Tony Hill 30 yard pass from Gary Hogeboom (Rafael Septien kick),6,7
3,3.0,Giants,Lionel Manuel 9 yard pass from Phil Simms (Ali Haji-Sheikh kick),13,7
4,4.0,Giants,Ali Haji-Sheikh 23 yard field goal,16,7
5,4.0,Giants,Ali Haji-Sheikh 27 yard field goal,19,7
