,Quarter,Tm,Detail,DAL,SDG
0,1.0,Cowboys,Rafael Septien 33 yard field goal,3,0
1,1.0,Cowboys,Mike Sherrard 68 yard pass from Steve Pelluer (Rafael Septien kick),10,0
2,2.0,Chargers,Tim Spencer 7 yard rush (Rolf Benirschke kick),10,7
3,3.0,Chargers,Kellen Winslow 28 yard pass from Dan Fouts (Rolf Benirschke kick),10,14
4,4.0,Chargers,Kellen Winslow 4 yard pass from Dan Fouts (Rolf Benirschke kick),10,21
5,4.0,Cowboys,Herschel Walker 1 yard rush (Rafael Septien kick),17,21
6,4.0,Cowboys,Steve Pelluer 2 yard rush (Rafael Septien kick),24,21
