,Quarter,Tm,Detail,PHI,SFO
0,1,Eagles,Harold Jackson 10 yard pass from George Mira,6,0
1,2,Eagles,Cyril Pinder 5 yard rush (Sam Baker kick),13,0
2,3,49ers,Doug Cunningham 1 yard rush (Momcilo Gavric kick),13,7
3,4,49ers,Bob Windsor 22 yard pass from John Brodie (Momcilo Gavric kick),13,14
