,Quarter,Time,Tm,Detail,KAN,CHI
0,1.0,9:14,Chiefs,Pete Stoyanovich 27 yard field goal,3,0
1,1.0,4:32,Bears,Curtis Enis 10 yard pass from Shane Matthews (Brian Gowins kick),3,7
2,2.0,12:45,Bears,Brian Gowins 21 yard field goal,3,10
3,2.0,3:49,Bears,Brian Gowins 24 yard field goal,3,13
4,2.0,0:51,Bears,John Allred 1 yard pass from Shane Matthews (Brian Gowins kick),3,20
5,3.0,5:01,Chiefs,Derrick Alexander 86 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,20
6,4.0,12:24,Chiefs,Donnie Edwards 79 yard defensive fumble return (Pete Stoyanovich kick),17,20
