,Quarter,Time,Tm,Detail,NWE,GNB
0,1.0,11:14,Packers,Mason Crosby 32 yard field goal,0,3
1,1.0,3:27,Packers,Mason Crosby 35 yard field goal,0,6
2,1.0,0:08,Packers,Richard Rodgers 32 yard pass from Aaron Rodgers (Mason Crosby kick),0,13
3,2.0,12:59,Patriots,Brandon Bolden 6 yard rush (Stephen Gostkowski kick),7,13
4,2.0,5:54,Packers,Mason Crosby 33 yard field goal,7,16
5,2.0,1:09,Patriots,Brandon LaFell 2 yard pass from Tom Brady (Stephen Gostkowski kick),14,16
6,2.0,0:14,Packers,Jordy Nelson 45 yard pass from Aaron Rodgers (Mason Crosby kick),14,23
7,4.0,13:51,Patriots,Brandon LaFell 15 yard pass from Tom Brady (Stephen Gostkowski kick),21,23
8,4.0,8:41,Packers,Mason Crosby 28 yard field goal,21,26
