,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,11:28,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),0,7
1,1.0,6:48,Panthers,Ted Ginn Jr. 74 yard pass from Cam Newton (Graham Gano kick),0,14
2,1.0,0:12,Panthers,Ted Ginn Jr. 46 yard pass from Cam Newton (Graham Gano kick),0,21
3,2.0,0:17,Panthers,Ed Dickson 4 yard pass from Cam Newton (Graham Gano kick),0,28
4,3.0,5:46,Panthers,Graham Gano 38 yard field goal,0,31
5,3.0,2:18,Panthers,Fozzy Whittaker 16 yard rush (Graham Gano kick),0,38
