,Quarter,Time,Tm,Detail,KAN,ATL
0,1.0,3:20,Falcons,Michael Turner 4 yard rush (Jason Elam kick),0,7
1,1.0,0:07,Falcons,Roddy White 70 yard pass from Matt Ryan (Jason Elam kick),0,14
2,2.0,9:15,Falcons,Jason Elam 27 yard field goal,0,17
3,2.0,2:11,Falcons,Michael Turner 1 yard rush (Jason Elam kick),0,24
4,2.0,0:03,Chiefs,Dwayne Bowe 15 yard pass from Tyler Thigpen (Nick Novak kick),7,24
5,3.0,9:49,Chiefs,Larry Johnson 1 yard rush (Nick Novak kick),14,24
6,3.0,5:13,Falcons,Michael Turner 2 yard rush (Jason Elam kick),14,31
7,4.0,1:01,Falcons,Chris Houston 10 yard interception return (Jason Elam kick),14,38
