,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,Abe Woodson 103 yard kickoff return (Tommy Davis kick),0,7
1,1.0,Vikings,Tommy Mason 41 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,1.0,49ers,Tommy Davis 35 yard field goal,7,10
3,2.0,Vikings,Fred Cox 37 yard field goal,10,10
4,2.0,49ers,Bernie Casey 1 yard pass from John Brodie (Tommy Davis kick),10,17
5,3.0,49ers,Tommy Davis 45 yard field goal,10,20
6,4.0,Vikings,Bill Brown 4 yard rush (Fred Cox kick),17,20
7,4.0,Vikings,Tommy Mason 2 yard rush (Fred Cox kick),24,20
