,Quarter,Time,Tm,Detail,DET,BUF
0,2.0,10:45,Lions,Andy Jones 4 yard pass from Matthew Stafford,6,0
1,2.0,7:55,Bills,Josh Allen 3 yard rush (Stephen Hauschka kick),6,7
2,2.0,3:46,Lions,Zach Zenner 1 yard rush (Matt Prater kick),13,7
3,4.0,10:26,Bills,Robert Foster 42 yard pass from Josh Allen (Stephen Hauschka kick),13,14
