,Quarter,Tm,Detail,ATL,SDG
0,1.0,Falcons,Haskel Stanback 1 yard rush (Tim Mazzetti kick),7,0
1,1.0,Chargers,Hank Bauer 1 yard rush (Mike Wood kick),7,7
2,2.0,Chargers,Mike Wood 35 yard field goal,7,10
3,2.0,Falcons,William Andrews 11 yard pass from Steve Bartkowski (Tim Mazzetti kick),14,10
4,3.0,Chargers,John Floyd 19 yard pass from Dan Fouts (Mike Wood kick),14,17
5,3.0,Falcons,Wallace Francis 31 yard pass from Steve Bartkowski (Tim Mazzetti kick),21,17
6,4.0,Chargers,Clarence Williams 2 yard rush (Mike Wood kick),21,24
7,4.0,Chargers,"Safety, Young tackled Bartkowski in end zone",21,26
8,4.0,Falcons,Wallace Francis 6 yard pass from Steve Bartkowski (Tim Mazzetti kick),28,26
