,Quarter,Tm,Detail,CIN,NYJ
0,1.0,Jets,Pat Leahy 22 yard field goal,0,3
1,1.0,Bengals,Jim Breech 21 yard field goal,3,3
2,1.0,Jets,Pat Leahy 39 yard field goal,3,6
3,1.0,Bengals,James Brooks 3 yard pass from Ken Anderson (pass failed),9,6
4,2.0,Jets,Freeman McNeil 15 yard rush (Pat Leahy kick),9,13
5,3.0,Bengals,M.L. Harris 80 yard pass from Ken Anderson (Jim Breech kick),16,13
6,3.0,Jets,Pat Leahy 32 yard field goal,16,16
7,3.0,Jets,Mickey Shuler 9 yard pass from Pat Ryan (Pat Leahy kick),16,23
8,4.0,Jets,Pat Leahy 36 yard field goal,16,26
9,4.0,Jets,Freeman McNeil 33 yard rush (Pat Leahy kick),16,33
10,4.0,Jets,Pat Leahy 29 yard field goal,16,36
11,4.0,Jets,Bruce Harper 9 yard rush (Pat Leahy kick),16,43
12,4.0,Bengals,Boomer Esiason 1 yard rush (Jim Breech kick),23,43
