,Quarter,Tm,Detail,CIN,BAL
0,1,Colts,Roy Jefferson 45 yard pass from Johnny Unitas (Jim O'Brien kick),0,7
1,2,Colts,Jim O'Brien 44 yard field goal,0,10
2,4,Colts,Eddie Hinton 53 yard pass from Johnny Unitas (Jim O'Brien kick),0,17
