,Quarter,Time,Tm,Detail,PHI,OAK
0,1.0,2:27,Eagles,David Akers 45 yard field goal,3,0
1,1.0,2:05,Raiders,Zach Miller 86 yard pass from JaMarcus Russell (Sebastian Janikowski kick),3,7
2,2.0,7:45,Raiders,Sebastian Janikowski 29 yard field goal,3,10
3,2.0,0:06,Eagles,David Akers 43 yard field goal,6,10
4,4.0,10:25,Raiders,Sebastian Janikowski 46 yard field goal,6,13
5,4.0,6:06,Eagles,David Akers 45 yard field goal,9,13
