,Quarter,Time,Tm,Detail,SDG,SFO
0,1,13:12,49ers,Frank Gore 52 yard rush (Phil Dawson kick),0,7
1,2,13:36,49ers,Bruce Ellington 8 yard pass from Colin Kaepernick (Phil Dawson kick),0,14
2,2,10:20,49ers,Antoine Bethea 49 yard interception return (Phil Dawson kick),0,21
3,2,5:09,Chargers,Eddie Royal 15 yard pass from Philip Rivers (Nick Novak kick),7,21
4,2,0:06,49ers,Bruce Ellington 1 yard rush (Phil Dawson kick),7,28
5,3,5:49,Chargers,Antonio Gates 1 yard pass from Philip Rivers (Nick Novak kick),14,28
6,3,3:26,Chargers,Corey Liuget defensive fumble recovery in end zone (Nick Novak kick),21,28
7,3,2:26,49ers,Colin Kaepernick 90 yard rush (Phil Dawson kick),21,35
8,4,5:15,Chargers,Antonio Gates 21 yard pass from Philip Rivers (Nick Novak kick),28,35
9,4,0:29,Chargers,Malcom Floyd 11 yard pass from Philip Rivers (Nick Novak kick),35,35
10,OT,10:06,Chargers,Nick Novak 40 yard field goal,38,35
