,Quarter,Tm,Detail,SDG,BUF
0,1.0,Chargers,Curtis Adams 1 yard rush (Rolf Benirschke kick),7,0
1,1.0,Bills,Scott Norwood 27 yard field goal,7,3
2,2.0,Bills,Scott Norwood 34 yard field goal,7,6
3,2.0,Chargers,Eric Sievers 30 yard pass from Dan Fouts (Rolf Benirschke kick),14,6
4,2.0,Bills,Scott Norwood 29 yard field goal,14,9
