,Quarter,Tm,Detail,RAM,CLE
0,1.0,Rams,Glenn Davis 82 yard pass from Bob Waterfield (Bob Waterfield kick),7,0
1,1.0,Browns,Dub Jones 27 yard pass from Otto Graham (Lou Groza kick),7,7
2,1.0,Rams,Dick Hoerner 3 yard rush (Bob Waterfield kick),14,7
3,2.0,Browns,Dante Lavelli 37 yard pass from Otto Graham,14,13
4,3.0,Browns,Dante Lavelli 39 yard pass from Otto Graham (Lou Groza kick),14,20
5,3.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),21,20
6,3.0,Rams,Larry Brink 6 yard fumble return (Bob Waterfield kick),28,20
7,4.0,Browns,Rex Bumgardner 14 yard pass from Otto Graham (Lou Groza kick),28,27
8,4.0,Browns,Lou Groza 16 yard field goal,28,30
