,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Len Barnum 18 yard field goal,0,3
1,1.0,Redskins,Dick Todd 53 yard pass from Sammy Baugh (Dick Todd kick),7,3
2,2.0,Eagles,Ted Williams 33 yard rush (Len Barnum kick),7,10
3,4.0,Redskins,Andy Farkas 2 yard rush (Bob Masterson kick),14,10
