,Quarter,Tm,Detail,MIN,NYG
0,1.0,Vikings,Herschel Walker 8 yard pass from Tommy Kramer (Rich Karlis kick),7,0
1,3.0,Giants,Pepper Johnson 39 yard interception return (Raul Allegre kick),7,7
2,3.0,Giants,Raul Allegre 39 yard field goal,7,10
3,3.0,Giants,Lionel Manuel 11 yard pass from Jeff Hostetler (Raul Allegre kick),7,17
4,4.0,Giants,Ottis Anderson 2 yard rush (Raul Allegre kick),7,24
5,4.0,Vikings,Rick Fenney 1 yard rush (Rich Karlis kick),14,24
