,Quarter,Tm,Detail,NWE,CLE
0,1.0,Browns,Leroy Kelly 7 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,1.0,Browns,Don Cockroft 34 yard field goal,0,10
2,2.0,Patriots,Tom Beer 18 yard pass from Jim Plunkett (Charlie Gogolak kick),7,10
3,3.0,Browns,Frank Pitts 35 yard pass from Bill Nelsen (Don Cockroft kick),7,17
4,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),7,24
5,4.0,Browns,Don Cockroft 31 yard field goal,7,27
