,Quarter,Time,Tm,Detail,SEA,LAR
0,1.0,11:16,Seahawks,Nick Vannett 8 yard pass from Russell Wilson (Sebastian Janikowski kick),7,0
1,1.0,6:41,Rams,Gerald Everett 10 yard pass from Jared Goff (Greg Zuerlein kick),7,7
2,1.0,3:42,Seahawks,Rashaad Penny 18 yard rush (Sebastian Janikowski kick),14,7
3,2.0,14:48,Rams,Greg Zuerlein 35 yard field goal,14,10
4,2.0,2:48,Rams,Todd Gurley 17 yard rush (Greg Zuerlein kick),14,17
5,3.0,9:44,Rams,Greg Zuerlein 37 yard field goal,14,20
6,3.0,4:20,Seahawks,Tyler Lockett 23 yard pass from Russell Wilson (Sebastian Janikowski kick),21,20
7,4.0,14:54,Rams,Tyler Higbee 10 yard pass from Jared Goff (run failed),21,26
8,4.0,9:52,Seahawks,Sebastian Janikowski 33 yard field goal,24,26
9,4.0,7:34,Rams,Greg Zuerlein 20 yard field goal,24,29
10,4.0,5:49,Rams,Brandin Cooks 9 yard rush (Greg Zuerlein kick),24,36
11,4.0,1:56,Seahawks,Mike Davis 3 yard pass from Russell Wilson (Sebastian Janikowski kick),31,36
