,Quarter,Time,Tm,Detail,ARI,DAL
0,2.0,,Cowboys,Chris Boniol 23 yard field goal,0,3
1,3.0,,Cowboys,Emmitt Smith 3 yard rush (Chris Boniol kick),0,10
2,4.0,,Cardinals,Greg Davis 49 yard field goal,3,10
3,4.0,,Cowboys,Emmitt Smith 13 yard rush (Chris Boniol kick),3,17
