,Quarter,Time,Tm,Detail,SEA,CIN
0,1.0,10:39,Seahawks,Itula Mili 46 yard pass from Matt Hasselbeck (Josh Brown kick),7,0
1,1.0,5:33,Bengals,Rudi Johnson 18 yard rush (Shayne Graham kick),7,7
2,2.0,10:39,Bengals,Kelley Washington 8 yard pass from Jon Kitna (Shayne Graham kick),7,14
3,2.0,6:34,Seahawks,Shaun Alexander 2 yard pass from Matt Hasselbeck (Josh Brown kick),14,14
4,2.0,0:59,Bengals,Shayne Graham 30 yard field goal,14,17
5,2.0,0:00,Seahawks,Josh Brown 27 yard field goal,17,17
6,3.0,9:16,Seahawks,Itula Mili 6 yard pass from Matt Hasselbeck (Josh Brown kick),24,17
7,3.0,0:06,Bengals,Shayne Graham 25 yard field goal,24,20
8,4.0,8:03,Bengals,Chad Johnson 53 yard pass from Jon Kitna (Shayne Graham kick),24,27
