,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Frank Corral 44 yard field goal,0,3
1,2.0,Rams,Preston Dennard 26 yard pass from Dan Pastorini (Frank Corral kick),0,10
2,2.0,Saints,George Rogers 59 yard rush (Benny Ricardo kick),7,10
3,2.0,Rams,Frank Corral 24 yard field goal,7,13
4,3.0,Saints,George Rogers 5 yard rush (Benny Ricardo kick),14,13
5,4.0,Saints,George Rogers 2 yard rush (Benny Ricardo kick),21,13
