,Quarter,Tm,Detail,MIA,DET
0,1.0,Lions,James Jones 6 yard pass from Eric Hipple (Eddie Murray kick),0,7
1,1.0,Lions,Eddie Murray 50 yard field goal,0,10
2,2.0,Dolphins,Joe Rose 19 yard pass from Dan Marino (Fuad Reveiz kick),7,10
3,2.0,Lions,Leonard Thompson 28 yard pass from Eric Hipple (Eddie Murray kick),7,17
4,2.0,Dolphins,Nat Moore 5 yard pass from Dan Marino (Fuad Reveiz kick),14,17
5,2.0,Lions,Mark Nichols 30 yard pass from Eric Hipple (Eddie Murray kick),14,24
6,3.0,Dolphins,Bob Brudzinski 7 yard defensive fumble return (Fuad Reveiz kick),21,24
7,4.0,Lions,James Jones 1 yard rush (Eddie Murray kick),21,31
