,Quarter,Tm,Detail,CLE,ATL
0,1.0,Browns,Leroy Kelly 70 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Paul Warfield 36 yard pass from Frank Ryan (Lou Groza kick),14,0
2,2.0,Falcons,Ernie Wheelwright 1 yard rush (Lou Kirouac kick),14,7
3,2.0,Browns,Gary Collins 17 yard pass from Frank Ryan (Jim Houston pass from Jim Ninowski),21,7
4,2.0,Falcons,Lou Kirouac 23 yard field goal,21,10
5,3.0,Browns,Ernie Green 6 yard pass from Frank Ryan (Lou Groza kick),28,10
6,4.0,Browns,Leroy Kelly 30 yard pass from Frank Ryan (Lou Groza kick),35,10
7,4.0,Falcons,Alex Hawkins 22 yard pass from Randy Johnson (Lou Kirouac kick),35,17
8,4.0,Browns,Clifton McNeil 44 yard pass from Jim Ninowski (Lou Groza kick),42,17
9,4.0,Browns,Ralph Smith 15 yard pass from Jim Ninowski (Lou Groza kick),49,17
