,Quarter,Tm,Detail,CLE,RAI
0,1.0,Raiders,Chris Bahr 39 yard field goal,0,3
1,1.0,Browns,Earnest Byner 2 yard pass from Bernie Kosar (Matt Bahr kick),7,3
2,2.0,Browns,Matt Bahr 20 yard field goal,10,3
3,2.0,Browns,Earnest Byner 15 yard rush (Matt Bahr kick),17,3
4,3.0,Browns,Webster Slaughter 18 yard pass from Bernie Kosar (Matt Bahr kick),24,3
5,4.0,Raiders,Stacey Toran 48 yard interception return (Chris Bahr kick),24,10
6,4.0,Raiders,James Lofton 28 yard pass from Marc Wilson (Chris Bahr kick),24,17
