,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Terry Barr 75 yard pass from Earl Morrall (Wayne Walker kick),0,7
1,2.0,Lions,Dan Lewis 5 yard rush (Wayne Walker kick),0,14
2,2.0,Browns,Lou Groza 19 yard field goal,3,14
3,2.0,Browns,Gary Collins 49 yard pass from Frank Ryan (Lou Groza kick),10,14
4,3.0,Lions,Gail Cogdill 29 yard pass from Earl Morrall (Wayne Walker kick),10,21
5,3.0,Lions,Wayne Walker 23 yard field goal,10,24
6,3.0,Lions,Darris McCord defensive fumble recovery in end zone (Wayne Walker kick),10,31
7,4.0,Lions,Nick Pietrosante 2 yard rush (Wayne Walker kick),10,38
