,Quarter,Time,Tm,Detail,OAK,DEN
0,1.0,9:28,Broncos,Shannon Sharpe 18 yard pass from Jake Plummer (Jason Elam kick),0,7
1,1.0,4:14,Broncos,Ashley Lelie 44 yard pass from Jake Plummer (Jason Elam kick),0,14
2,1.0,0:54,Broncos,Jake Plummer 6 yard rush (Jason Elam kick),0,21
3,2.0,2:28,Broncos,Jason Elam 20 yard field goal,0,24
4,3.0,12:11,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),0,31
5,3.0,5:21,Raiders,Zack Crockett 4 yard rush (Sebastian Janikowski kick),7,31
6,4.0,12:26,Raiders,Sebastian Janikowski 41 yard field goal,10,31
