,Quarter,Time,Tm,Detail,CLE,OAK
0,1.0,10:17,Browns,Darrin Chiaverini 15 yard pass from Tim Couch (Phil Dawson kick),7,0
1,1.0,7:21,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),7,7
2,2.0,13:27,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),7,14
3,2.0,1:17,Raiders,Zack Crockett 2 yard rush (Sebastian Janikowski kick),7,21
4,2.0,0:42,Raiders,William Thomas 46 yard interception return (Sebastian Janikowski kick),7,28
5,3.0,2:49,Browns,Phil Dawson 29 yard field goal,10,28
6,4.0,13:14,Raiders,Sebastian Janikowski 37 yard field goal,10,31
7,4.0,5:51,Raiders,Sebastian Janikowski 31 yard field goal,10,34
8,4.0,5:34,Raiders,"Safety,",10,36
