,Quarter,Tm,Detail,SEA,STL
0,1.0,Cardinals,Roy Green 15 yard pass from Neil Lomax (Neil O'Donoghue kick),0,7
1,1.0,Seahawks,Zachary Dixon 94 yard kickoff return (Norm Johnson kick),7,7
2,2.0,Cardinals,Roy Green 23 yard pass from Neil Lomax (Neil O'Donoghue kick),7,14
3,2.0,Cardinals,Roy Green 7 yard pass from Neil Lomax (Neil O'Donoghue kick),7,21
4,2.0,Seahawks,Steve Largent 15 yard pass from Dave Krieg (Norm Johnson kick),14,21
5,2.0,Cardinals,Roy Green 63 yard pass from Neil Lomax (Neil O'Donoghue kick),14,28
6,2.0,Seahawks,Steve Largent 14 yard pass from Dave Krieg (Norm Johnson kick),21,28
7,4.0,Seahawks,Steve Largent 45 yard pass from Dave Krieg (Norm Johnson kick),28,28
8,4.0,Cardinals,Neil O'Donoghue 33 yard field goal,28,31
9,4.0,Cardinals,"Safety, Galloway tackled Krieg in end zone",28,33
