,Quarter,Tm,Detail,SDG,BUF
0,1.0,Chargers,Don Woods 13 yard rush (Ray Wersching kick),7,0
1,1.0,Bills,George Jakowenko 29 yard field goal,7,3
2,1.0,Chargers,Charlie Joiner 5 yard pass from Dan Fouts (Ray Wersching kick),14,3
3,2.0,Chargers,Charlie Joiner 30 yard pass from Dan Fouts (Ray Wersching kick),21,3
4,2.0,Bills,John Holland special teams fumble recovery in end zone (George Jakowenko kick),21,10
5,2.0,Chargers,Ray Wersching 35 yard field goal,24,10
6,2.0,Chargers,Ray Wersching 45 yard field goal,27,10
7,3.0,Bills,George Jakowenko 42 yard field goal,27,13
8,3.0,Chargers,Rickey Young 13 yard rush (Ray Wersching kick),34,13
