,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,7:09,Cardinals,Ricky Proehl 48 yard pass from Jay Schroeder (Greg Davis kick),0,7
1,1.0,7:09,Redskins,Chip Lohmiller 34 yard field goal,3,7
2,2.0,7:09,Redskins,Chip Lohmiller 31 yard field goal,6,7
3,4.0,7:09,Cardinals,Ronald Moore 1 yard rush (Greg Davis kick),6,14
4,4.0,7:09,Redskins,Henry Ellard 52 yard pass from Heath Shuler (run failed),12,14
5,4.0,7:09,Redskins,Chip Lohmiller 21 yard field goal,15,14
6,4.0,7:09,Cardinals,Greg Davis 27 yard field goal,15,17
