,Quarter,Tm,Detail,BAL,BUF
0,1.0,Colts,Mike Siani 38 yard pass from Bert Jones (Steve Mike-Mayer kick),7,0
1,1.0,Colts,Steve Mike-Mayer 21 yard field goal,10,0
2,2.0,Bills,Roosevelt Leaks 1 yard rush,10,6
3,2.0,Colts,Don McCauley 1 yard rush (Steve Mike-Mayer kick),17,6
4,2.0,Bills,Nick Mike-Mayer 49 yard field goal,17,9
5,4.0,Bills,Nick Mike-Mayer 20 yard field goal,17,12
