,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Roger Craig 46 yard pass from Joe Montana (Ray Wersching kick),7,0
1,2.0,Falcons,Mick Luckhurst 45 yard field goal,7,3
2,2.0,49ers,Ray Wersching 37 yard field goal,10,3
3,3.0,49ers,Wendell Tyler 14 yard pass from Joe Montana (Ray Wersching kick),17,3
4,4.0,Falcons,David Archer 29 yard rush (Mick Luckhurst kick),17,10
5,4.0,49ers,Jerry Rice 25 yard pass from Joe Montana (Ray Wersching kick),24,10
6,4.0,49ers,John Frank 5 yard pass from Joe Montana (Ray Wersching kick),31,10
7,4.0,Falcons,Bob Holly 20 yard rush (Mick Luckhurst kick),31,17
8,4.0,49ers,Dwight Clark 32 yard pass from Joe Montana (Ray Wersching kick),38,17
