,Quarter,Tm,Detail,CHI,TAM
0,1.0,Buccaneers,Michael Husted 38 yard field goal,0,3
1,2.0,Buccaneers,Mazio Royster 4 yard rush (Michael Husted kick),0,10
2,2.0,Bears,Kevin Butler 55 yard field goal,3,10
3,3.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),10,10
4,3.0,Buccaneers,Michael Husted 42 yard field goal,10,13
