,Quarter,Tm,Detail,DEN,SDG
0,2.0,Chargers,Chris Bahr 22 yard field goal,0,3
1,2.0,Broncos,Bobby Humphrey 12 yard pass from John Elway (David Treadwell kick),7,3
2,2.0,Chargers,Chris Bahr 41 yard field goal,7,6
3,3.0,Chargers,Chris Bahr 53 yard field goal,7,9
4,3.0,Broncos,David Treadwell 24 yard field goal,10,9
5,4.0,Chargers,Tim Spencer 1 yard rush (Chris Bahr kick),10,16
6,4.0,Broncos,Jeff Alexander 1 yard rush,16,16
7,4.0,Chargers,Chris Bahr 45 yard field goal,16,19
