,Quarter,Tm,Detail,CLE,STL
0,2.0,Cardinals,Jim Bakken 12 yard field goal,0,3
1,2.0,Browns,Paul Warfield 38 yard pass from Frank Ryan (Lou Groza kick),7,3
2,2.0,Cardinals,Jim Bakken 42 yard field goal,7,6
3,2.0,Cardinals,Jim Bakken 26 yard field goal,7,9
4,3.0,Browns,Lou Groza 33 yard field goal,10,9
5,3.0,Browns,Lou Groza 23 yard field goal,13,9
6,4.0,Browns,Jim Houston 18 yard interception return (Lou Groza kick),20,9
7,4.0,Cardinals,Jackie Smith 15 yard pass from Jim Hart (Jim Bakken kick),20,16
