,Quarter,Tm,Detail,MIA,PHI
0,2.0,Eagles,Harold Jackson 31 yard pass from Norm Snead (Mark Moseley kick),0,7
1,2.0,Eagles,Mark Moseley 23 yard field goal,0,10
2,2.0,Eagles,Harold Jackson 15 yard pass from Norm Snead (Mark Moseley kick),0,17
3,3.0,Eagles,Steve Zabel 2 yard pass from Norm Snead (Mark Moseley kick),0,24
4,4.0,Dolphins,Garo Yepremian 24 yard field goal,3,24
5,4.0,Dolphins,Paul Warfield 52 yard pass from John Stofa (Garo Yepremian kick),10,24
6,4.0,Dolphins,Willie Richardson 27 yard pass from John Stofa (Garo Yepremian kick),17,24
