,Quarter,Tm,Detail,PHI,NOR
0,1.0,Eagles,Tony Franklin 24 yard field goal,3,0
1,2.0,Eagles,Wilbert Montgomery 26 yard pass from Ron Jaworski (Tony Franklin kick),10,0
2,2.0,Eagles,Tony Franklin 36 yard field goal,13,0
3,2.0,Saints,Wes Chandler 52 yard pass from Archie Manning (Garo Yepremian kick),13,7
4,3.0,Eagles,Tony Franklin 19 yard field goal,16,7
5,4.0,Eagles,Tony Franklin 44 yard field goal,19,7
6,4.0,Eagles,Billy Campfield 15 yard rush (Tony Franklin kick),26,7
7,4.0,Saints,Chuck Muncie 1 yard rush (Garo Yepremian kick),26,14
