,Quarter,Time,Tm,Detail,KAN,LAC
0,1,11:28,Chargers,Justin Herbert 4 yard rush (Michael Badgley kick),0,7
1,2,8:57,Chiefs,Travis Kelce 10 yard pass from Patrick Mahomes (Harrison Butker kick failed),6,7
2,2,2:37,Chargers,Jalen Guyton 14 yard pass from Justin Herbert (Michael Badgley kick),6,14
3,3,8:11,Chargers,Michael Badgley 41 yard field goal,6,17
4,3,3:17,Chiefs,Harrison Butker 58 yard field goal,9,17
5,4,12:58,Chiefs,Tyreek Hill 54 yard pass from Patrick Mahomes (Mecole Hardman pass from Patrick Mahomes ),17,17
6,4,2:31,Chargers,Michael Badgley 23 yard field goal,17,20
7,4,0:03,Chiefs,Harrison Butker 30 yard field goal,20,20
8,OT,2:00,Chiefs,Harrison Butker 58 yard field goal,23,20
