,Quarter,Time,Tm,Detail,SDG,PHI
0,1.0,10:49,Eagles,Chad Lewis 1 yard pass from Donovan McNabb (David Akers kick),0,7
1,1.0,8:48,Chargers,Jeff Graham 61 yard pass from Doug Flutie (Steve Christie kick),7,7
2,1.0,5:47,Eagles,Brian Dawkins 49 yard defensive fumble return (David Akers kick),7,14
3,2.0,1:57,Eagles,Duce Staley 8 yard pass from Donovan McNabb (David Akers kick),7,21
4,2.0,1:01,Chargers,Jeff Graham 10 yard pass from Doug Flutie (Steve Christie kick),14,21
5,4.0,8:26,Eagles,David Akers 37 yard field goal,14,24
