,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Dan Reeves 45 yard rush (Danny Villanueva kick),0,7
1,1.0,Cardinals,Jim Bakken 25 yard field goal,3,7
2,1.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),10,7
3,2.0,Cowboys,Bob Hayes 25 yard pass from Don Meredith (Danny Villanueva kick),10,14
4,2.0,Cowboys,Don Perkins 2 yard rush (Danny Villanueva kick),10,21
5,4.0,Cowboys,Danny Villanueva 10 yard field goal,10,24
6,4.0,Cardinals,Billy Gambrell 16 yard pass from Terry Nofsinger (Jim Bakken kick),17,24
7,4.0,Cowboys,Don Perkins 11 yard rush (Danny Villanueva kick),17,31
