,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,,Lions,Johnnie Morton 5 yard pass from Scott Mitchell (Jason Hanson kick),7,0
1,1.0,,Lions,Tracy Scroggins 81 yard defensive fumble return (Jason Hanson kick),14,0
2,2.0,,Lions,Jason Hanson 33 yard field goal,17,0
3,2.0,,Buccaneers,Michael Husted 27 yard field goal,17,3
4,3.0,,Lions,Brett Perriman 91 yard pass from Scott Mitchell (Jason Hanson kick),24,3
5,3.0,,Lions,Jason Hanson 39 yard field goal,27,3
6,4.0,,Lions,Jason Hanson 45 yard field goal,30,3
7,4.0,,Buccaneers,Jerry Ellison 1 yard rush (Michael Husted kick),30,10
8,4.0,,Lions,Scott Mitchell 1 yard rush (Jason Hanson kick),37,10
