,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Pat Harder 12 yard rush (Pat Harder kick),0,7
1,2.0,Lions,Pat Harder 4 yard rush (Pat Harder kick),0,14
2,2.0,Rams,Tom Fears 14 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,14
3,3.0,Lions,Leon Hart 24 yard pass from Doak Walker (Pat Harder kick),7,21
4,3.0,Lions,Pat Harder 43 yard field goal,7,24
5,4.0,Rams,Dan Towler 5 yard rush (Bob Waterfield kick),14,24
6,4.0,Rams,Vitamin Smith 56 yard punt return (Bob Waterfield kick),21,24
7,4.0,Lions,Bob Hoernschemeyer 9 yard rush (Pat Harder kick),21,31
