,Quarter,Tm,Detail,DET,PIT
0,2,Steelers,Jerry Shipkey 1 yard rush (Joe Glamp kick),0,7
1,3,Steelers,Jerry Shipkey 2 yard rush (Joe Glamp kick),0,14
2,4,Lions,Don Doll 95 yard interception return (Bill Dudley kick),7,14
