,Quarter,Tm,Detail,CRD,NYY
0,1.0,Yankees,Red Smith unknown yard rush (Red Smith kick),0,7
1,4.0,Yankees,Red Smith unknown yard rush,0,13
2,4.0,Yankees,Wild Bill Kelly 46 yard interception return,0,19
