,Quarter,Tm,Detail,STL,CHI
0,1.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),0,7
1,1.0,Bears,Dave Williams 11 yard pass from Mike Phipps (Bob Thomas kick),0,14
2,2.0,Bears,Walter Payton 5 yard rush (Bob Thomas kick),0,21
3,3.0,Cardinals,Pat Tilley 13 yard pass from Jim Hart,6,21
4,3.0,Bears,Rickey Watts 83 yard kickoff return (Bob Thomas kick),6,28
5,4.0,Bears,Walter Payton 4 yard rush (Bob Thomas kick),6,35
6,4.0,Bears,Rickey Watts 35 yard pass from Mike Phipps (Bob Thomas kick),6,42
