,Quarter,Tm,Detail,DAL,DET
0,1.0,Lions,Willie Green 31 yard pass from Erik Kramer (Eddie Murray kick),0,7
1,1.0,Cowboys,Ken Willis 28 yard field goal,3,7
2,2.0,Lions,Mel Jenkins 41 yard interception return (Eddie Murray kick),3,14
3,2.0,Cowboys,Ken Willis 28 yard field goal,6,14
4,2.0,Lions,Eddie Murray 36 yard field goal,6,17
5,3.0,Lions,Willie Green 9 yard pass from Erik Kramer (Eddie Murray kick),6,24
6,3.0,Lions,Herman Moore 7 yard pass from Erik Kramer (Eddie Murray kick),6,31
7,4.0,Lions,Barry Sanders 47 yard rush (Eddie Murray kick),6,38
