,Quarter,Tm,Detail,MIA,OAK
0,3.0,Raiders,Raymond Chester 14 yard pass from Ken Stabler,0,6
1,3.0,Raiders,Ted Hendricks 23 yard interception return (Jim Breech kick),0,13
2,3.0,Dolphins,Uwe von Schamann 23 yard field goal,3,13
