,Quarter,Tm,Detail,BUF,CLE
0,1.0,Browns,Matt Bahr 40 yard field goal,0,3
1,1.0,Bills,Booker Moore 1 yard rush (Scott Norwood kick),7,3
2,3.0,Browns,Earnest Byner 4 yard rush (Matt Bahr kick),7,10
3,4.0,Browns,Ozzie Newsome 11 yard pass from Bernie Kosar (Matt Bahr kick),7,17
