,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Ray Wersching 21 yard field goal,3,0
1,1.0,Giants,"Safety, Melville knocked ball out of end zone",3,2
2,2.0,Giants,Phil Simms 17 yard rush (Joe Danelo kick),3,9
3,2.0,Giants,Earnest Gray 13 yard pass from Phil Simms (Joe Danelo kick),3,16
4,2.0,Giants,Doug Kotar 1 yard rush (run failed),3,22
5,2.0,Giants,Earnest Gray 11 yard pass from Phil Simms (Joe Danelo kick),3,29
6,3.0,49ers,Mike Shumann 13 yard pass from Steve DeBerg (Ray Wersching kick),10,29
7,4.0,49ers,Freddie Solomon 11 yard pass from Steve DeBerg (pass failed),16,29
8,4.0,Giants,Joe Danelo 37 yard field goal,16,32
